depth_m	age_gas_calBP	age_gas_calBPerr	co2_ppm	co2_1s_ppm	notes
490.19	7294.00	0.70	264.83	1.04	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
490.92	7319.25	0.45	263.74	0.17	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
491.61	7342.80	0.50	261.90	0.83	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
492.47	7372.20	0.40	263.17	0.32	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
493.00	7390.25	0.85	263.98	0.66	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
493.54	7408.55	0.45	263.37	0.43	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
494.16	7429.70	0.40	261.96	0.22	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
494.72	7448.75	0.35	262.36	0.16	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
495.25	7466.95	0.85	262.47	0.95	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
496.10	7495.40	3.20	265.16	0.14	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
496.57	7511.35	0.85	262.94	0.91	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
497.04	7527.80	0.90	263.68	0.31	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
497.42	7540.75	0.35	262.77	0.77	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
497.95	7559.35	0.95	262.69	0.93	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
498.38	7574.20	0.70	262.52	0.83	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
498.95	7594.20	0.90	262.62	0.19	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
499.41	7610.05	0.35	264.33	0.09	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
499.87	7627.65	0.45	261.96	0.47	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
500.42	7648.45	0.75	263.23	0.10	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
501.12	7674.95	0.65	263.03	0.39	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
501.49	7689.05	0.45	262.97	0.13	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
502.14	7713.50	10.20	261.89	0.05	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
502.68	7733.95	10.25	261.43	0.50	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
502.98	7745.15	0.75	264.15	0.34	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
504.04	7785.50	2.40	263.75	0.03	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
504.75	7812.60	0.50	260.85	0.27	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
505.17	7828.75	2.25	263.06	0.71	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
506.06	7863.10	1.90	262.80	0.31	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
506.14	7866.00	0.80	263.79	0.47	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
506.62	7884.45	0.45	264.12	0.32	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
507.05	7901.15	1.95	263.61	0.36	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
507.30	7911.05	0.45	262.31	0.10	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
507.48	7917.95	1.65	262.62	0.02	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
508.15	7944.05	1.75	263.63	0.75	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
508.81	7969.80	0.50	263.77	0.00	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
508.94	7974.65	0.95	266.74	0.71	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
508.99	7976.90	1.30	266.62	0.18	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
510.06	8017.80	2.00	262.73	0.74	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
510.13	8020.35	0.75	266.33	0.76	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
510.31	8027.15	1.85	262.97	0.20	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
510.85	8047.15	0.65	264.11	1.09	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
510.99	8052.05	1.65	261.92	0.56	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
511.34	8065.35	0.85	263.98	0.70	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
511.46	8070.00	1.90	261.15	0.10	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
511.84	8084.25	1.35	265.00	0.50	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
512.75	8123.25	1.45	262.53	0.24	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
512.98	8134.20	2.50	265.26	0.30	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
513.10	8140.60	1.90	266.48	0.31	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
513.28	8149.35	3.25	265.35	0.20	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
513.45	8158.00	3.80	264.42	0.26	Siple Dome (7.3 - 9 kyr BP) Ahn et al. (2014 b) (Geophysical Research Letters) Oregon State University
