"""41.75.1, x""","""41.75.1, y""","""55.52.2, x""","""55.52.2, y""","""43.06.3, x""","""43.06.3, y""","""50.1.4, x""","""50.1.4, y""","""54.63.5, x""","""54.63.5, y""","""46.27.6, x""","""46.27.6, y""","""49.7, x""","""49.7, y""","""51.51.9, x""","""51.51.9, y""","""37.44.10, x""","""37.44.10, y""","""53.78.11, x""","""53.78.11, y""","""49.8.12, x""","""49.8.12, y""","""55, x""","""55, y""","""56.71.14, x""","""56.71.14, y""","""60.45.15, x""","""60.45.15, y""","""53.59.16, x""","""53.59.16, y""","""28.59.17, x""","""28.59.17, y""","""57.05.18, x""","""57.05.18, y""","""46.39.19, x""","""46.39.19, y""","""40, x""","""40, y""","""39.55.21, x""","""39.55.21, y""","""39.55.22, x""","""39.55.22, y""","""48.84.23, x""","""48.84.23, y""","""48.84.24, x""","""48.84.24, y""","""49.16.25, x""","""49.16.25, y""","""25, x""","""25, y""","""49.74.27, x""","""49.74.27, y""","""51.1.28, x""","""51.1.28, y""","""62.07.29, x""","""62.07.29, y""","""48.84.30, x""","""48.84.30, y""","""53.42.31, x""","""53.42.31, y""","""49.16.32, x""","""49.16.32, y""","""49.41.33, x""","""49.41.33, y""","""47.27.34, x""","""47.27.34, y""","""47.27.35, x""","""47.27.35, y""","""47.27.36, x""","""47.27.36, y""","""47.27.37, x""","""47.27.37, y""","""47.89.38, x""","""47.89.38, y""","""47.89.39, x""","""47.89.39, y""","""47.89.40, x""","""47.89.40, y""","""55.42.41, x""","""55.42.41, y""","""53.28.42, x""","""53.28.42, y""","""59.02.43, x""","""59.02.43, y""","""52.62.44, x""","""52.62.44, y""","""48.74.45, x""","""48.74.45, y""","""36.37.46, x""","""36.37.46, y""","""48.76.47, x""","""48.76.47, y""","""58.21.48, x""","""58.21.48, y""","""52.92.49, x""","""52.92.49, y""","""48.52.50, x""","""48.52.50, y""","""54.81.51, x""","""54.81.51, y""","""58.65.52, x""","""58.65.52, y""","""52.44.53, x""","""52.44.53, y""","""52.44.54, x""","""52.44.54, y""","""52.44.55, x""","""52.44.55, y""","""50.68.56, x""","""50.68.56, y""","""50.68.57, x""","""50.68.57, y""","""50.68.58, x""","""50.68.58, y""","""50.68.59, x""","""50.68.59, y""","""50.68.60, x""","""50.68.60, y""","""47.27.61, x""","""47.27.61, y""","""51.77.62, x""","""51.77.62, y""","""55.05.63, x""","""55.05.63, y"""
-87.4620056152,30.3896808624,-114.637390137,35.0191802979,-94.0510253906,33.0367469788,-120.006011963,42.0092658997,-102.055244446,40.0096435547,-73.4990234375,42.0493736267,-75.8023147583,39.72889328,-85.0154800415,30.9970169067,-80.8901824951,32.0397987366,-117.026634216,42.0092658997,-90.6419219971,42.5077400208,-88.0235061646,37.7922973633,-91.2263412476,43.4989547729,-94.6354370117,37.0245323181,-82.5689468384,38.4282798767,-94.0510253906,33.0367469788,-70.7373657227,43.0864257812,-77.7159957886,39.3278236389,-70.4508895874,41.401927948,-73.4990234375,42.0493736267,-70.0612792969,41.2758789062,-90.4127349854,46.5585517883,-83.4455718994,41.7514343262,-96.4287948608,43.4932289124,-88.1896591187,34.9962654114,-95.7527084351,40.6112480164,-104.049133301,48.9993515015,-104.060592651,43.0062103271,-114.041519165,36.9958839417,-72.4734268188,42.7311935425,-74.7251586914,41.3675537109,-103.006347656,37.0016136169,-73.9287414551,40.8060531616,-79.7671813965,42.2613677979,-74.2782440186,40.4851989746,-72.4963531494,40.8977279663,-75.893989563,36.5547065735,-78.5582427979,33.8675346375,-76.0028533936,36.5547065735,-104.049133301,45.9397583008,-80.5177612305,40.6456260681,-102.049514771,37.0016136169,-116.929229736,45.997051239,-79.7671813965,42.2613677979,-71.8431777954,41.3446350098,-83.1075286865,34.9905319214,-96.4345245361,42.473361969,-89.7194595337,36.0046691895,-94.4979248047,33.6669998169,-114.04724884,42.0035362244,-73.3615188599,45.0115661621,-75.6418838501,37.9641838074,-75.2751922607,38.0386695862,-77.7159957886,39.3278236389,-123.019767761,48.5696334839,-122.824958801,48.4034729004,-122.767662048,48.6097373962,-122.670265198,48.1742897034,-116.929229736,45.997051239,-79.4978942871,39.7231636047,-87.8000564575,42.5020103455,-109.051063538,40.9951286316
-87.4849319458,30.3724918365,-114.643127441,35.1051216125,-94.0510253906,33.3003082275,-120.006011963,41.2013931274,-102.060966492,40.0039138794,-73.0406570435,42.0436439514,-75.7622070312,39.72889328,-84.9982910156,30.9626407623,-80.8500747681,32.0283432007,-117.026634216,43.6823005676,-90.4184646606,42.5077400208,-88.0464248657,37.820941925,-91.2263412476,43.4531211853,-95.0078659058,37.0130767822,-82.5746765137,38.4397392273,-93.8332977295,33.0252876282,-70.7717514038,43.1036148071,-77.7561035156,39.3564720154,-70.4566192627,41.3904724121,-73.5047531128,42.0952110291,-70.0383605957,41.2816085815,-90.378364563,46.5642776489,-83.7721633911,41.7399749756,-96.4287948608,43.8541908264,-88.1667480469,34.950428009,-95.3745574951,40.6055183411,-104.049133301,48.6326560974,-103.510551453,42.9947547913,-114.04724884,36.8411865234,-72.5020828247,42.7598381042,-74.3756484985,41.2013931274,-103.00062561,36.4802207947,-73.9344787598,40.7888641357,-79.6984329224,42.2957458496,-74.2037658691,40.6284370422,-72.4562454224,40.9091873169,-75.8596115112,36.5547065735,-78.6384506226,33.9477462769,-75.9398269653,36.5547065735,-104.043403625,46.2720718384,-80.5578689575,40.6398963928,-102.015136719,36.9958839417,-116.894851685,45.9684028625,-79.7557220459,42.0035362244,-71.8489074707,41.3904724121,-83.0043945312,35.0191802979,-96.4402542114,42.473361969,-89.7080078125,36.0333137512,-94.4807434082,33.6555404663,-113.015922546,41.9978065491,-73.1953582764,45.0115661621,-75.6189727783,37.9985618591,-75.2179031372,38.0272064209,-77.6873474121,39.3220939636,-123.054153442,48.6154708862,-122.796310425,48.4092063904,-122.750480652,48.6383895874,-122.710372925,48.2143974304,-117.47353363,46.0085105896,-79.4921646118,39.2075004578,-88.2011184692,42.5077400208,-110.007896423,41.0008621216
-87.5250320435,30.3724918365,-114.603019714,35.1223106384,-94.0567550659,33.5753288269,-120.006011963,39.7002449036,-102.055244446,39.5799255371,-73.012008667,42.0436439514,-75.7450256348,39.7575416565,-84.9753723145,30.9225311279,-80.8443450928,32.0168800354,-117.026634216,43.7911643982,-89.9142684937,42.5020103455,-88.0808029175,37.8324050903,-91.2034225464,43.4302024841,-95.0880737305,37.0130767822,-82.580406189,38.4282798767,-93.5239028931,33.0195579529,-70.8003921509,43.120803833,-77.7503738403,39.3908500671,-70.4566192627,41.3732833862,-73.4761047363,42.1754226685,-70.0211715698,41.2987976074,-90.3153381348,46.5929260254,-83.8867492676,41.7399749756,-96.4287948608,44.2036933899,-88.1323699951,34.9045906067,-95.2026672363,40.6055183411,-104.049133301,48.3862876892,-103.006347656,42.9947547913,-114.052978516,36.2109336853,-72.5307312012,42.7942199707,-74.2381362915,41.1441001892,-103.046455383,36.4802207947,-73.9516601562,40.7774085999,-79.5494613647,42.3587722778,-74.0949020386,40.662815094,-72.4390563965,40.9378356934,-75.8424224854,36.5088691711,-79.0567169189,34.3029823303,-75.9283676147,36.5489768982,-104.043403625,46.5356330872,-80.6208877563,40.6341667175,-101.556770325,37.0016136169,-116.843284607,45.9168395996,-79.6182174683,42.0035362244,-71.8431777954,41.401927948,-82.9872055054,35.0249099731,-96.4803619385,42.473361969,-89.6850814819,36.0619659424,-94.4750137329,33.6326217651,-112.173675537,41.9978065491,-72.5651016235,45.0115661621,-75.3611373901,38.0272064209,-75.2465515137,37.9928321838,-77.6415100098,39.310634613,-123.09425354,48.6097373962,-122.767662048,48.4092063904,-122.716094971,48.6555747986,-122.721832275,48.2373161316,-117.616775513,46.0085105896,-79.4577865601,39.2304191589,-88.3042602539,42.5020103455,-110.053733826,41.0008621216
-87.5307617188,30.3323860168,-114.574363708,35.1796112061,-94.0796661377,33.5867843628,-119.994552612,39.4424133301,-102.055244446,39.5684623718,-72.8172073364,42.0379104614,-75.7335586548,39.7804603577,-84.946723938,30.8996162415,-80.8500747681,31.9939613342,-116.980789185,43.8828392029,-89.8455123901,42.5077400208,-88.052154541,37.8610496521,-91.1690444946,43.4130134583,-95.4203948975,37.0130767822,-82.5861358643,38.3595237732,-93.4895248413,33.0195579529,-70.8118591309,43.1322631836,-77.7503738403,39.402305603,-70.4680786133,41.3560943604,-73.4188079834,42.3243904114,-70.0154418945,41.3159866333,-90.280960083,46.6158447266,-84.3680343628,41.7227859497,-96.4345245361,44.5474662781,-88.1094436646,34.8988571167,-94.9161911011,40.5997886658,-104.049133301,47.9852142334,-102.7943573,42.9947547913,-114.081626892,36.1364479065,-72.5536422729,42.8687019348,-74.1922988892,41.1269111633,-103.046455383,36.0447769165,-73.9631195068,40.7544898987,-79.4348678589,42.4275245667,-74.0605239868,40.6112480164,-72.4161376953,40.9435653687,-75.8252334595,36.4515762329,-79.4463272095,34.6123809814,-75.9169082642,36.526058197,-104.043403625,46.6444969177,-80.6609954834,40.6169776917,-101.069755554,37.0016136169,-116.808914185,45.8824615479,-79.0624465942,42.0035362244,-71.8374481201,41.4191169739,-82.8668899536,35.0650177002,-96.5090103149,42.473361969,-89.6507034302,36.0619659424,-94.4635543823,33.615436554,-112.110649109,42.0035362244,-71.8890151978,45.023021698,-75.3955154419,37.9928321838,-75.3038406372,37.9412651062,-77.6128616333,39.310634613,-123.09425354,48.5810890198,-122.756202698,48.4378509521,-122.727554321,48.6784934998,-122.670265198,48.3118019104,-117.983474731,45.997051239,-79.4004898071,39.270526886,-88.6995925903,42.5020103455,-111.056411743,40.9951286316
-87.5708694458,30.3266544342,-114.585830688,35.2369041443,-94.0911254883,33.5982437134,-120.006011963,39.3163642883,-102.055244446,39.1330184937,-72.8172073364,42.0092658997,-75.7049179077,39.7976493835,-84.9409942627,30.8881549835,-80.8844528198,31.9710464478,-116.952140808,43.957321167,-89.3928756714,42.5020103455,-88.0922622681,37.8839683533,-91.1518554688,43.3614463806,-95.5292510986,37.0188026428,-82.580406189,38.336605072,-93.2374267578,33.0195579529,-70.8233108521,43.1609115601,-77.7618331909,39.4137687683,-70.5081863403,41.3560943604,-73.3787002563,42.4561729431,-70.044090271,41.3159866333,-90.2007522583,46.6330337524,-84.4024124146,41.7227859497,-96.4345245361,44.6391410828,-88.1495513916,34.583732605,-94.6354370117,40.5940628052,-104.049133301,47.4007987976,-102.078163147,42.9947547913,-114.116004944,36.0963401794,-72.5307312012,42.9088096619,-73.900100708,40.9951286316,-103.046455383,35.7296485901,-73.9688491821,40.7373008728,-79.4062194824,42.4504432678,-74.083442688,40.5883293152,-72.3989486694,40.9607543945,-75.8137741089,36.3885498047,-79.4463272095,34.6181106567,-75.9111785889,36.5088691711,-104.049133301,47.3320426941,-80.6667251587,40.6055183411,-100.937973022,37.0016136169,-116.774528503,45.8538131714,-78.9249420166,42.0035362244,-71.8087997437,41.4305801392,-82.803855896,35.0822029114,-96.5204696655,42.4848213196,-89.627784729,36.0963401794,-94.4520874023,33.5982437134,-111.520507812,42.0035362244,-71.5051345825,45.0115661621,-75.4184341431,37.9699134827,-75.3152999878,37.9298057556,-77.5555648804,39.2762565613,-123.117164612,48.5638999939,-122.779129028,48.4550437927,-122.767662048,48.684223175,-122.635879517,48.357635498,-117.994934082,46.0085105896,-79.3661117554,39.2934455872,-88.7740783691,42.5020103455,-111.056411743,41.2300453186
-87.5880584717,30.3266544342,-114.59728241,35.2827415466,-94.1197738647,33.5925178528,-120.006011963,39.1616630554,-102.055244446,39.0528030396,-72.7599105835,42.0035362244,-75.6819915771,39.8148345947,-84.946723938,30.8595085144,-80.9302902222,31.9595851898,-116.934959412,44.0088882446,-89.3756866455,42.5020103455,-88.1037216187,37.9011573792,-91.0716400146,43.2984199524,-95.8042678833,37.0130767822,-82.5689468384,38.302230835,-92.9910507202,33.0195579529,-70.8175811768,43.2010192871,-77.7847518921,39.4252243042,-70.5654830933,41.3446350098,-73.3500595093,42.5134658813,-70.0498199463,41.3274459839,-90.1377182007,46.6444969177,-84.7977523804,41.7113265991,-96.4345245361,44.8167572021,-88.1667480469,34.4634094238,-94.4807434082,40.5940628052,-104.049133301,47.3320426941,-101.230186462,42.9947547913,-114.138923645,36.0390472412,-72.5249938965,42.9431838989,-73.9115524292,40.9091873169,-103.046455383,35.6093292236,-73.9745788574,40.7258415222,-79.3833007812,42.473361969,-74.1292800903,40.5539512634,-72.3932189941,40.9836730957,-75.7793960571,36.2911491394,-79.6755065918,34.8014564514,-75.9111785889,36.49168396,-104.049133301,47.4007987976,-80.672454834,40.5883293152,-100.622848511,37.0016136169,-116.745880127,45.807975769,-78.3118667603,42.0035362244,-71.7858810425,41.4305801392,-82.7866744995,35.0822029114,-96.5433883667,42.4962806702,-89.6048660278,36.1421775818,-94.4234466553,33.5982437134,-111.491851807,41.9978065491,-71.533782959,45.0001029968,-75.4298934937,37.9412651062,-75.3324890137,37.8725128174,-77.5326461792,39.270526886,-123.111442566,48.5352554321,-122.802047729,48.4550437927,-122.836418152,48.7128715515,-122.61869812,48.3748245239,-118.957496643,45.997051239,-79.331741333,39.310634613,-88.9402389526,42.4962806702,-111.056411743,41.5795478821
-87.593788147,30.3094673157,-114.60874176,35.3572273254,-94.1484298706,33.5867843628,-120.006011963,39.1158256531,-102.049514771,38.6918411255,-72.7484512329,42.0379104614,-75.6418838501,39.8320274353,-84.9409942627,30.7850227356,-80.9532089233,31.9538555145,-116.957878113,44.0547218323,-88.9402389526,42.4962806702,-88.0808029175,37.9068870544,-91.0601806641,43.2640419006,-95.9761581421,37.0130767822,-82.5632171631,38.2793121338,-92.7274856567,33.0138282776,-70.8175811768,43.2411231995,-77.7904815674,39.4424133301,-70.6170425415,41.3446350098,-73.3156814575,42.5994110107,-70.0326309204,41.3503646851,-90.0746994019,46.6559524536,-84.8034820557,41.7800827026,-96.4345245361,44.9771881104,-88.1839370728,34.3144416809,-94.2400970459,40.5940628052,-104.043403625,46.6444969177,-100.204589844,42.9947547913,-114.201942444,36.0218582153,-72.5020828247,42.9661026001,-73.9172821045,40.9034576416,-103.046455383,35.1738777161,-74.0032272339,40.7143821716,-79.3489227295,42.4905471802,-74.1636581421,40.531036377,-72.3760299683,41.0008621216,-75.7450256348,36.20520401,-79.6927032471,34.8071861267,-75.9398269653,36.49168396,-104.049133301,47.9852142334,-80.6208877563,40.5023880005,-100.084266663,37.0016136169,-116.700035095,45.8366241455,-78.2087402344,41.9978065491,-71.7801513672,41.4592247009,-82.7694854736,35.0707473755,-96.5777664185,42.5191993713,-89.5991363525,36.1708221436,-94.40625,33.5753288269,-111.050682068,41.9978065491,-71.5452423096,44.9829139709,-75.4241638184,37.9298057556,-75.3382263184,37.8495941162,-77.4982681274,39.2533378601,-123.088516235,48.5008773804,-122.819229126,48.4779586792,-122.882263184,48.7186012268,-122.549942017,48.3748245239,-119.003326416,45.9913215637,-79.3030853271,39.3163642883,-89.3756866455,42.5020103455,-111.050682068,41.9978065491
-87.593788147,30.2865486145,-114.625938416,35.4087905884,-94.1541595459,33.5867843628,-120.006011963,39.0642623901,-102.049514771,38.6116256714,-72.5536422729,42.0321846008,-75.6189727783,39.8377532959,-84.9066162109,30.7449150085,-80.9646682739,31.9423980713,-116.957878113,44.0891036987,-88.7740783691,42.5020103455,-88.0349655151,37.9126167297,-91.0716400146,43.2411231995,-96.0105361938,37.0073432922,-82.5746765137,38.2563934326,-92.0857772827,33.002368927,-70.8290405273,43.25258255,-77.7847518921,39.4710617065,-70.6800765991,41.3446350098,-73.2755737305,42.702545166,-70.0498199463,41.3732833862,-90.0231323242,46.6788711548,-84.8321304321,41.7800827026,-96.4345245361,45.2636680603,-88.2068557739,34.0795288086,-94.0166473389,40.5997886658,-104.043403625,46.5356330872,-99.5399627686,42.9947547913,-114.264976501,36.0275840759,-72.4734268188,42.9890213013,-73.9402084351,40.891998291,-103.046455383,34.9389648438,-74.0204162598,40.7086524963,-79.320274353,42.4962806702,-74.1865768433,40.5081176758,-72.3473815918,41.0008621216,-75.7278289795,36.1536369324,-79.9104232788,34.8071861267,-75.9684753418,36.4974136353,-104.049133301,48.3862876892,-80.6094360352,40.4680099487,-100.009780884,36.9958839417,-116.654205322,45.7965164185,-77.7618331909,42.0035362244,-71.7801513672,41.6024665833,-82.7522964478,35.0764770508,-96.6064147949,42.5077400208,-89.6106033325,36.1880149841,-94.4005279541,33.5695991516,-111.056411743,41.5795478821,-71.5280532837,44.9256210327,-75.4356231689,37.9068870544,-75.3611373901,37.8495941162,-77.4753570557,39.2476081848,-123.065612793,48.4836883545,-122.819229126,48.5237960815,-122.887985229,48.6784934998,-122.549942017,48.3461799622,-119.066360474,45.962677002,-79.2859039307,39.3278236389,-89.3928756714,42.5020103455,-111.056411743,42.5191993713
-87.6740036011,30.2750892639,-114.666046143,35.4546279907,-94.1885375977,33.609703064,-119.994552612,38.9897766113,-102.049514771,38.2563934326,-72.5020828247,42.0379104614,-75.5616760254,39.8434867859,-84.8779678345,30.7277259827,-80.9589385986,31.9252090454,-116.923492432,44.1234779358,-88.6995925903,42.5020103455,-88.0349655151,37.9469947815,-91.1403961182,43.1666412354,-96.5319290161,37.0016136169,-82.5861358643,38.2392044067,-92.0628585815,33.002368927,-70.8576965332,43.2755012512,-77.7732849121,39.4825248718,-70.7087173462,41.3389053345,-73.2813034058,42.7426528931,-70.044090271,41.3847427368,-89.9543762207,46.7132492065,-85.2102813721,41.7800827026,-96.4345245361,45.2923126221,-88.2068557739,34.0623397827,-93.7760009766,40.5997886658,-104.043403625,46.2720718384,-99.2649383545,42.9947547913,-114.310813904,36.0447769165,-72.4562454224,43.023399353,-73.9745788574,40.8461608887,-103.046455383,34.7327003479,-74.0261535645,40.7201080322,-79.2859039307,42.5134658813,-74.2324142456,40.4909286499,-72.3359222412,41.0237808228,-75.7049179077,36.1192588806,-80.3229598999,34.812915802,-75.9742050171,36.5031394958,-104.049133301,48.6326560974,-80.6266174316,40.433631897,-99.5514144897,36.9958839417,-116.579719543,45.7850570679,-77.6128616333,42.0035362244,-71.7801513672,41.6425743103,-82.7007293701,35.099395752,-96.6350631714,42.5650367737,-89.6736221313,36.2166595459,-94.3661499023,33.5753288269,-111.056411743,41.2300453186,-71.5280532837,44.891242981,-75.4528121948,37.8896980286,-75.3668670654,37.8667793274,-77.4638900757,39.2304191589,-123.042686462,48.4779586792,-122.836418152,48.5409812927,-122.928092957,48.6670341492,-122.52130127,48.3404502869,-119.175216675,45.9225692749,-79.2687072754,39.3450126648,-89.8455123901,42.5077400208,-111.056411743,43.023399353
-87.8115158081,30.2579021454,-114.660308838,35.5004653931,-94.2057189941,33.615436554,-119.868492126,38.9095611572,-102.043785095,37.7350006104,-72.1296615601,42.0379104614,-75.5272979736,39.8492164612,-84.8665084839,30.7162666321,-80.9474716187,31.9022903442,-116.906311035,44.146396637,-88.3042602539,42.5020103455,-88.0235061646,38.015750885,-91.1747741699,43.1265296936,-96.743927002,36.9958839417,-82.5861358643,38.2162857056,-91.4669799805,33.002368927,-70.9321746826,43.3385276794,-77.7790145874,39.499710083,-70.7373657227,41.3389053345,-73.0292053223,42.7369194031,-70.0269012451,41.3847427368,-89.9028091431,46.741897583,-85.2962265015,41.7800827026,-96.4402542114,45.3152313232,-88.2526931763,33.7357559204,-93.5697402954,40.5997886658,-104.049133301,45.9397583008,-98.5143661499,42.9947547913,-114.3279953,36.1135292053,-72.4676971436,43.0520477295,-74.0032272339,40.8232421875,-103.052185059,34.3144416809,-74.0032272339,40.7659454346,-79.2114181519,42.5421180725,-74.2782440186,40.4851989746,-72.31300354,41.0008621216,-75.6819915771,36.0619659424,-80.5406723022,34.812915802,-75.9742050171,36.526058197,-104.049133301,48.9993515015,-80.6266174316,40.4107131958,-99.4769287109,36.9958839417,-116.545349121,45.7621383667,-76.9711532593,41.9978065491,-71.7801513672,41.7227859497,-82.7007293701,35.1165847778,-96.6522521973,42.5707626343,-89.6850814819,36.2338485718,-94.3088531494,33.5695991516,-111.056411743,40.9951286316,-71.5910797119,44.7995681763,-75.4470825195,37.8725128174,-75.3668670654,37.9011573792,-77.4696273804,39.2189598083,-123.008308411,48.4779586792,-122.859336853,48.5180664062,-122.951011658,48.644115448,-122.492652893,48.3289909363,-119.249710083,45.9282951355,-79.2515258789,39.362197876,-89.9142684937,42.5020103455,-111.050682068,43.2926902771
